Graph Information:
Number of nodes: 34
Number of edges: 78

Node degrees:
Node 0: degree 16, community 0
Node 1: degree 9, community 0
Node 2: degree 10, community 0
Node 3: degree 6, community 0
Node 4: degree 3, community 0
Node 5: degree 4, community 0
Node 6: degree 4, community 0
Node 7: degree 4, community 0
Node 8: degree 5, community 0
Node 9: degree 2, community 1
Node 10: degree 3, community 0
Node 11: degree 1, community 0
Node 12: degree 2, community 0
Node 13: degree 5, community 0
Node 14: degree 2, community 1
Node 15: degree 2, community 1
Node 16: degree 2, community 0
Node 17: degree 2, community 0
Node 18: degree 2, community 1
Node 19: degree 3, community 0
Node 20: degree 2, community 1
Node 21: degree 2, community 0
Node 22: degree 2, community 1
Node 23: degree 5, community 1
Node 24: degree 3, community 1
Node 25: degree 3, community 1
Node 26: degree 2, community 1
Node 27: degree 4, community 1
Node 28: degree 3, community 1
Node 29: degree 4, community 1
Node 30: degree 4, community 1
Node 31: degree 6, community 1
Node 32: degree 12, community 1
Node 33: degree 17, community 1

Edge list:
0 -- 1
0 -- 2
0 -- 3
0 -- 4
0 -- 5
0 -- 6
0 -- 7
0 -- 8
0 -- 10
0 -- 11
0 -- 12
0 -- 13
0 -- 17
0 -- 19
0 -- 21
0 -- 31
1 -- 2
1 -- 3
1 -- 7
1 -- 13
1 -- 17
1 -- 19
1 -- 21
1 -- 30
2 -- 3
2 -- 7
2 -- 8
2 -- 9
2 -- 13
2 -- 27
2 -- 28
2 -- 32
3 -- 7
3 -- 12
3 -- 13
4 -- 6
4 -- 10
5 -- 6
5 -- 10
5 -- 16
6 -- 16
8 -- 30
8 -- 32
8 -- 33
9 -- 33
13 -- 33
14 -- 32
14 -- 33
15 -- 32
15 -- 33
18 -- 32
18 -- 33
19 -- 33
20 -- 32
20 -- 33
22 -- 32
22 -- 33
23 -- 25
23 -- 27
23 -- 29
23 -- 32
23 -- 33
24 -- 25
24 -- 27
24 -- 31
25 -- 31
26 -- 29
26 -- 33
27 -- 33
28 -- 31
28 -- 33
29 -- 32
29 -- 33
30 -- 32
30 -- 33
31 -- 32
31 -- 33
32 -- 33
